team,name,tenure,active,fired,fired_midseason,win_pct,final_yr_win_pct,sb_champ,runner_up,scandal,minority,pro_bowl_qb,first_tenure,coty
AZ,Dennis Green,3,0,1,0,0.333,0.313,0,0,0,1,0,0,0
AZ,Ken Whisenhunt,6,0,1,0,0.469,0.313,0,1,0,0,0,1,0
AZ,Bruce Arians,5,0,0,0,0.619,0.5,0,0,0,0,0,1,1
AZ,Steve Wilks,1,0,1,0,0.188,0.188,0,0,0,1,0,1,0
AZ,Kliff Kingsbury,4,0,1,0,0.432,0.235,0,0,0,0,0,1,0
AZ,Jonathan Gannon,2,1,0,0,0.353,0.471,0,0,0,0,0,1,0
ATL,Jim Mora,3,0,1,0,0.542,0.438,0,0,1,0,0,1,0
ATL,Bobby Petrino,1,0,0,0,0.231,0.231,0,0,1,0,0,1,0
ATL,Mike Smith,7,0,1,0,0.589,0.375,0,0,0,0,1,1,1
ATL,Dan Quinn,6,0,1,1,0.506,0,0,1,0,0,0,1,0
ATL,Arthur Smith,3,0,1,0,0.412,0.412,0,0,0,0,0,1,0
ATL,Raheem Morris,1,1,0,0,0.471,0.471,0,0,0,1,0,0,0
BAL,Brian Billick,9,0,1,0,0.556,0.313,1,0,0,0,0,1,0
BAL,John Harbaugh,17,1,0,0,0.623,0.706,1,0,0,0,1,1,1
BUF,Mike Mularkey,2,0,0,0,0.438,0.313,0,0,0,0,0,1,0
BUF,Dick Jauron,4,0,1,1,0.421,0.333,0,0,0,0,0,0,0
BUF,Chan Gailey,3,0,1,0,0.333,0.375,0,0,0,0,0,0,0
BUF,Doug Marrone,2,0,0,0,0.469,0.563,0,0,0,0,0,1,0
BUF,Rex Ryan,2,0,1,1,0.484,0.467,0,0,0,0,0,0,0
BUF,Sean McDermott,8,1,0,0,0.656,0.765,0,0,0,0,1,1,0
CAR,John Fox,9,0,1,0,0.507,0.125,0,1,0,0,0,1,0
CAR,Ron Rivera,9,0,1,1,0.546,0.417,0,1,0,1,0,1,1
CAR,Matt Rhule,3,0,1,1,0.289,0.2,0,0,0,0,0,1,0
CAR,Frank Reich,1,0,1,1,0.091,0.091,0,0,0,0,0,0,0
CAR,Dave Canales,1,1,0,0,0.294,0.294,0,0,0,1,0,1,0
CHI,Lovie Smith,9,0,1,0,0.563,0.625,0,1,0,1,0,1,1
CHI,Marc Trestman,2,0,1,0,0.406,0.313,0,0,0,0,0,1,0
CHI,John Fox,3,0,1,0,0.292,0.313,0,0,0,0,0,0,0
CHI,Matt Nagy,4,0,1,0,0.523,0.353,0,0,0,0,0,1,1
CHI,Matt Eberflus,3,0,1,1,0.304,0.333,0,0,0,0,0,1,0
CIN,Marvin Lewis,16,0,0,0,0.518,0.375,0,0,0,1,0,1,1
CIN,Zac Taylor,6,1,0,0,0.47,0.529,0,1,0,0,1,1,0
CLE,Romeo Crennel,4,0,1,0,0.375,0.25,0,0,0,1,0,1,0
CLE,Eric Mangini,2,0,1,0,0.313,0.313,0,0,0,0,0,0,0
CLE,Pat Shurmur,2,0,1,0,0.281,0.313,0,0,0,0,0,1,0
CLE,Rob Chudzinski,1,0,1,0,0.333,0.333,0,0,0,0,0,1,0
CLE,Mike Pettine,2,0,1,0,0.313,0.188,0,0,0,0,0,1,0
CLE,Hue Jackson,3,0,1,1,0.088,0.313,0,0,0,1,0,0,0
CLE,Freddie Kitchens,1,0,1,0,0.375,0.375,0,0,0,0,0,1,0
CLE,Kevin Stefanski,5,1,0,0,0.476,0.176,0,0,0,0,0,1,1
DAL,Bill Parcells,4,0,0,0,0.531,0.563,0,0,0,0,1,0,0
DAL,Wade Phillips,4,0,1,1,0.607,0.125,0,0,0,0,0,0,0
DAL,Jason Garrett,10,0,1,0,0.559,0.5,0,0,0,0,0,1,1
DAL,Mike McCarthy,5,0,1,0,0.583,0.412,0,0,0,0,0,0,0
DEN,Mike Shanahan,14,0,1,0,0.616,0.5,1,0,0,0,1,1,0
DEN,Josh McDaniels,2,0,1,1,0.393,0.25,0,0,0,0,0,1,0
DEN,John Fox,4,0,0,0,0.719,0.75,0,1,0,0,1,0,0
DEN,Gary Kubiak,2,0,0,0,0.656,0.563,1,0,0,0,0,0,0
DEN,Vance Joseph,2,0,1,1,0.344,0.375,0,0,0,1,0,1,0
DEN,Vic Fangio,3,0,1,0,0.388,0.412,0,0,0,0,0,1,0
DEN,Nathaniel Hackett,1,0,1,1,0.267,0.267,0,0,0,0,0,1,0
DEN,Sean Payton,2,1,0,0,0.529,0.588,0,0,0,0,0,0,0
DET,Steve Mariucci,3,0,1,1,0.349,0.364,0,0,0,0,0,0,0
DET,Rod Marinelli,3,0,1,0,0.208,0,0,0,0,0,0,1,0
DET,Jim Schwartz,5,0,1,0,0.363,0.438,0,0,0,0,0,1,0
DET,Jim Caldwell,4,0,1,0,0.563,0.563,0,0,0,1,0,0,0
DET,Matt Patricia,3,0,1,1,0.314,0.364,0,0,0,0,0,1,0
DET,Dan Campbell,4,1,0,0,0.581,0.882,0,0,0,0,1,1,0
GB,Mike Sherman,6,0,1,1,0.594,0.25,0,0,0,0,0,1,0
GB,Mike McCarthy,13,0,1,1,0.618,0.375,1,0,0,0,1,1,0
GB,Matt LaFleur,6,1,0,0,0.67,0.647,0,0,0,0,0,1,0
HOU,Dom Capers,4,0,1,0,0.281,0.125,0,0,0,0,0,0,0
HOU,Gary Kubiak,8,0,1,1,0.488,0.154,0,0,0,0,0,1,0
HOU,Bill O'Brien,7,0,1,1,0.52,0,0,0,0,0,1,1,0
HOU,David Culley,1,0,1,0,0.235,0.235,0,0,0,1,0,1,0
HOU,Lovie Smith,1,0,1,0,0.206,0.206,0,0,0,1,0,0,0
HOU,DeMeco Ryans,2,1,0,0,0.588,0.588,0,0,0,1,0,1,0
IND,Tony Dungy,7,0,0,0,0.759,0.75,1,0,0,1,1,0,0
IND,Jim Caldwell,3,0,1,0,0.542,0.125,0,1,0,1,0,1,0
IND,Chuck Pagano,6,0,1,0,0.552,0.25,0,0,0,0,0,1,0
IND,Frank Reich,5,0,1,1,0.547,0.389,0,0,0,0,0,1,0
IND,Shane Steichen,2,1,0,0,0.5,0.471,0,0,0,0,0,1,0
JAX,Jack Del Rio,9,0,1,1,0.489,0.273,0,0,0,0,0,1,0
JAX,Mike Mularkey,1,0,1,0,0.125,0.125,0,0,0,0,0,0,0
JAX,Gus Bradley,4,0,1,1,0.226,0.143,0,0,0,0,0,1,0
JAX,Doug Marrone,5,0,1,0,0.348,0.063,0,0,0,0,0,0,0
JAX,Urban Meyer,1,0,1,1,0.154,0.154,0,0,0,0,0,1,0
JAX,Doug Pederson,3,0,1,0,0.431,0.235,0,0,0,0,0,0,0
KC,Dick Vermeil,5,0,0,0,0.55,0.625,0,0,0,0,1,0,0
KC,Herm Edwards,3,0,1,0,0.313,0.125,0,0,0,1,0,0,0
KC,Todd Haley,3,0,1,1,0.422,0.385,0,0,0,0,0,1,0
KC,Romeo Crennel,2,0,1,0,0.211,0.125,0,0,1,1,0,0,0
KC,Andy Reid,12,1,0,0,0.73,0.882,1,0,0,0,0,0,0
LV,Norv Turner,2,0,1,0,0.281,0.25,0,0,0,0,0,0,0
LV,Art Shell,1,0,1,0,0.125,0.125,0,0,0,1,0,0,0
LV,Lane Kiffin,2,0,1,1,0.25,0.25,0,0,0,0,0,1,0
LV,Tom Cable,3,0,1,0,0.386,0.5,0,0,0,0,0,1,0
LV,Hue Jackson,1,0,1,0,0.5,0.5,0,0,0,1,0,1,0
LV,Dennis Allen,3,0,1,1,0.222,0,0,0,0,0,0,1,0
LV,Jack Del Rio,3,0,1,0,0.521,0.375,0,0,0,0,1,0,0
LV,Jon Gruden,4,0,0,0,0.415,0.6,0,0,1,0,0,0,0
LV,Josh McDaniels,2,0,1,1,0.36,0.375,0,0,0,0,0,0,0
LV,Antonio Pierce,2,0,1,0,0.346,0.235,0,0,0,1,0,1,0
LAC,Marty Schottenheimer,5,0,1,0,0.588,0.875,0,0,0,0,1,0,1
LAC,Norv Turner,6,0,1,0,0.583,0.438,0,0,0,0,0,0,0
LAC,Mike McCoy,4,0,1,0,0.422,0.313,0,0,0,0,1,1,0
LAC,Anthony Lynn,4,0,1,0,0.516,0.438,0,0,0,1,0,1,0
LAC,Brandon Staley,3,0,1,1,0.5,0.357,0,0,0,0,0,1,0
LAC,Jim Harbaugh,1,1,0,0,0.647,0.647,0,0,0,0,0,0,0
LAR,Mike Martz,6,0,1,0,0.624,0.4,0,1,0,0,0,1,0
LAR,Scott Linehan,3,0,1,1,0.306,0,0,0,0,0,0,1,0
LAR,Steve Spagnuolo,3,0,1,0,0.208,0.125,0,0,0,0,0,1,0
LAR,Jeff Fisher,5,0,1,1,0.409,0.308,0,0,0,0,0,0,0
LAR,Sean McVay,8,1,0,0,0.606,0.588,1,0,0,0,0,1,1
MIA,Nick Saban,2,0,0,0,0.469,0.375,0,0,0,0,0,1,0
MIA,Cam Cameron,1,0,1,0,0.063,0.063,0,0,0,0,0,1,0
MIA,Tony Sparano,4,0,1,1,0.475,0.308,0,0,0,0,0,1,0
MIA,Joe Philbin,4,0,1,1,0.462,0.25,0,0,0,0,0,1,0
MIA,Adam Gase,3,0,1,0,0.479,0.438,0,0,0,0,0,1,0
MIA,Brian Flores,3,0,1,0,0.49,0.529,0,0,0,1,0,1,0
MIA,Mike McDaniel,3,1,0,0,0.549,0.471,0,0,0,1,0,1,0
MIN,Mike Tice,5,0,1,0,0.492,0.563,0,0,1,0,0,1,0
MIN,Brad Childress,5,0,1,1,0.527,0.3,0,0,0,0,0,1,0
MIN,Leslie Frazier,4,0,1,0,0.398,0.344,0,0,0,1,0,1,0
MIN,Mike Zimmer,8,0,1,0,0.562,0.471,0,0,0,0,1,1,0
MIN,Kevin O'Connell,3,1,0,0,0.667,0.824,0,0,0,0,1,1,1
NE,Bill Belichick,24,0,0,0,0.687,0.235,1,0,1,0,0,0,1
NE,Jerod Mayo,1,0,1,0,0.235,0.235,0,0,0,1,1,1,0
NO,Jim Haslett,6,0,1,0,0.469,0.188,0,0,0,0,0,1,0
NO,Sean Payton,15,0,0,0,0.631,0.529,1,0,1,0,0,1,1
NO,Dennis Allen,3,0,1,1,0.419,0.222,0,0,0,0,0,0,0
NYG,Tom Coughlin,12,0,1,0,0.531,0.375,1,0,0,0,1,0,0
NYG,Ben McAdoo,2,0,1,1,0.464,0.167,0,0,0,0,0,1,0
NYG,Pat Shurmur,2,0,1,0,0.281,0.25,0,0,0,0,0,0,0
NYG,Joe Judge,2,0,1,0,0.303,0.235,0,0,0,0,0,1,0
NYG,Brian Daboll,3,1,0,0,0.363,0.176,0,0,0,0,0,1,1
NYJ,Herm Edwards,5,0,0,0,0.488,0.25,0,0,0,1,0,1,0
NYJ,Eric Mangini,3,0,1,0,0.479,0.563,0,0,0,0,1,0,0
NYJ,Rex Ryan,6,0,1,0,0.479,0.25,0,0,0,0,0,1,0
NYJ,Todd Bowles,4,0,1,0,0.375,0.25,0,0,0,1,0,1,0
NYJ,Adam Gase,2,0,1,0,0.281,0.125,0,0,0,0,0,0,0
NYJ,Robert Saleh,4,0,1,1,0.357,0.4,0,0,0,1,0,1,0
PHI,Andy Reid,14,0,1,0,0.583,0.25,0,1,0,0,0,1,1
PHI,Chip Kelly,3,0,1,1,0.553,0.4,0,0,0,0,0,1,0
PHI,Doug Pederson,5,0,1,0,0.531,0.281,1,0,0,0,0,1,0
PHI,Nick Sirianni,4,1,0,0,0.706,0.824,1,0,0,0,0,1,0
PIT,Bill Cowher,15,0,0,0,0.623,0.5,1,0,0,0,0,1,1
PIT,Mike Tomlin,18,1,0,0,0.63,0.588,1,0,0,1,1,1,0
SF,Mike Nolan,4,0,1,1,0.327,0.286,0,0,0,0,0,1,0
SF,Mike Singletary,3,0,1,1,0.45,0.333,0,0,0,1,0,1,0
SF,Jim Harbaugh,4,0,0,0,0.695,0.5,0,1,0,0,0,1,1
SF,Jim Tomsula,1,0,1,0,0.313,0.313,0,0,0,0,0,1,0
SF,Chip Kelly,1,0,1,0,0.125,0.125,0,0,0,0,0,0,0
SF,Kyle Shanahan,8,1,0,0,0.53,0.353,0,1,0,0,0,1,0
SEA,Mike Holmgren,10,0,0,0,0.538,0.25,0,1,0,0,0,0,0
SEA,Jim Mora,1,0,1,0,0.313,0.313,0,0,0,0,0,0,0
SEA,Pete Carroll,14,0,0,0,0.606,0.529,1,0,0,0,1,0,0
SEA,Mike Macdonald,1,1,0,0,0.588,0.588,0,0,0,0,0,1,0
TB,Jon Gruden,7,0,1,0,0.509,0.563,1,0,0,0,0,0,0
TB,Raheem Morris,3,0,1,0,0.354,0.25,0,0,0,1,0,1,0
TB,Greg Schiano,2,0,1,0,0.344,0.25,0,0,0,0,0,1,0
TB,Lovie Smith,2,0,1,0,0.25,0.375,0,0,0,1,1,0,0
TB,Dirk Koetter,3,0,1,0,0.396,0.313,0,0,0,0,0,1,0
TB,Bruce Arians,3,0,0,0,0.633,0.765,1,0,0,0,1,0,0
TB,Todd Bowles,3,1,0,0,0.529,0.588,0,0,0,1,1,0,0
TEN,Jeff Fisher,17,0,0,0,0.542,0.375,0,1,0,0,0,1,0
TEN,Mike Munchak,3,0,1,0,0.458,0.438,0,0,0,0,0,1,0
TEN,Ken Whisenhunt,2,0,1,1,0.13,0.143,0,0,0,0,0,0,0
TEN,Mike Mularkey,3,0,0,0,0.488,0.563,0,0,0,0,0,0,0
TEN,Mike Vrabel,6,0,1,0,0.545,0.353,0,0,0,0,0,1,1
TEN,Brian Callahan,1,1,0,0,0.176,0.176,0,0,0,0,0,1,0
WAS,Joe Gibbs,4,0,0,0,0.469,0.563,0,0,0,0,0,0,0
WAS,Jim Zorn,2,0,1,0,0.375,0.25,0,0,0,0,0,1,0
WAS,Mike Shanahan,4,0,1,0,0.375,0.188,0,0,0,0,0,0,0
WAS,Jay Gruden,6,0,1,1,0.418,0,0,0,0,0,0,1,0
WAS,Ron Rivera,4,0,1,0,0.396,0.235,0,0,0,1,0,0,0
WAS,Dan Quinn,1,1,0,0,0.706,0.706,0,0,0,0,1,0,0
